period,symbol,avg_neg,avg_neu,avg_pos,avg_compound,mention_count,market_avg_neg,market_avg_neu,market_avg_pos,market_avg_compound
2023-01-04,ADA,0.05691666666666667,0.84775,0.09533333333333333,0.3312083333333333,12,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,ALGO,0.067,0.744,0.188,0.6369,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,APE,0.10250000000000001,0.8645,0.033,-0.1508,2,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,ATOM,0.026,0.89575,0.078,0.468375,4,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,AVAX,0.083,0.7726666666666667,0.14366666666666666,0.2690666666666666,3,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,AXS,0.041,0.688,0.271,0.8934,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,BNB,0.08075,0.8335,0.08549999999999999,0.341575,4,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,BTC,0.07709375,0.7816875,0.141234375,0.4192890625,64,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,CRV,0.064,0.936,0.0,-0.296,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,DOGE,0.0,0.9775,0.0225,0.10115,2,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,DOT,0.042833333333333334,0.8341666666666666,0.12283333333333334,0.5509000000000001,6,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,ETC,0.133,0.722,0.145,0.872,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,ETH,0.045655172413793105,0.8058275862068965,0.14848275862068966,0.5552034482758621,29,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,FIL,0.0,1.0,0.0,0.0,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,FLOW,0.08266666666666667,0.7851666666666667,0.13216666666666668,0.7086833333333334,6,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,FTM,0.0,0.8035,0.1965,0.84795,2,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,FTT,0.1052,0.711,0.18359999999999999,0.90876,5,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,GALA,0.104,0.746,0.149,0.9932,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,GRT,0.125,0.714,0.161,0.9854,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,HBAR,0.0,0.95,0.05,0.4215,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,HYPE,0.065,0.855,0.08,0.7405,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,ICP,0.133,0.867,0.0,-0.25,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,KSM,0.0,0.811,0.189,0.2732,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,LINK,0.0375,0.841,0.1215,0.4577,2,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,LTC,0.07266666666666667,0.7901666666666666,0.137,0.34548333333333336,6,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,MANA,0.0445,0.815,0.14049999999999999,0.5255,2,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,MATIC,0.04414285714285714,0.7248571428571429,0.2307142857142857,0.7664428571428571,7,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,MKR,0.07366666666666666,0.8296666666666667,0.09633333333333334,0.5563666666666667,3,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,NEAR,0.043333333333333335,0.8573333333333334,0.09933333333333333,0.6868666666666666,3,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,QNT,0.035,0.858,0.107,0.4767,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,SHIB,0.052,0.828,0.12,0.4463916666666667,12,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,SOL,0.06282352941176471,0.8280000000000001,0.10911764705882353,0.5539823529411765,17,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,SUSHI,0.03675,0.8225,0.14075,0.29185,4,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,TRX,0.171,0.592,0.237,0.25,1,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-04,XRP,0.07623809523809524,0.767904761904762,0.1559047619047619,0.3374619047619048,21,0.06436244541484716,0.8011615720524018,0.1344235807860262,0.46643755458515285
2023-01-11,AAVE,0.0456,0.7476,0.2072,0.9236599999999999,5,0.0607732181425486,0.8022008639308855,0.13704103671706264,0.49886868250539956
2023-01-11,ADA,0.04275,0.80825,0.14895833333333333,0.43045416666666664,24,0.0607732181425486,0.8022008639308855,0.13704103671706264,0.49886868250539956
