date,index,symbol,open,high,low,close,usd_volume,btc_volume,v_7d,v_14d,v_21d,v_28d,v_42d,log_return,momentum_14,volatility_14,momentum_21,volatility_21,momentum_28,volatility_28,momentum_42,volatility_42,momentum_90,volatility_90,return,strev_weekly,var_95,max_drawdown,avg_neg,avg_neu,avg_pos,avg_compound,mention_count
2020-10-14,1744,AAVE,51.9877127919108,56.6338158426146,51.5092534346887,52.3312561740315,2151984.19845861,40075.2472866606,1.3325692129702134,1.1782024409560208,0.627226154877178,0.4302440484908807,-0.8543988207579218,0.0065864267537079,-0.1872772834819612,1.5922997787930842,-0.2500392810877621,1.4483684761980264,-0.358822636900585,1.3521899025765285,0.7485556617760443,1.910456631485895,1.5272410347558991,1.6257239828946013,0.2109912084982026,0.2109912084982026,0.3013041986800167,0.4705350801889271,0.0624067639297098,0.8142983902181562,0.123170585570435,0.4661773226368133,5.0
2020-10-21,1751,AAVE,32.1010108733268,36.1446079803455,31.9856166080058,35.1206518908625,29431695.2564807,860286.94066594,0.5168860044935357,1.1782024409560208,0.627226154877178,0.4302440484908807,-0.8543988207579218,0.0899018093863368,-0.1872772834819612,1.5922997787930842,-0.2500392810877621,1.4483684761980264,-0.358822636900585,1.3521899025765285,0.7485556617760443,1.910456631485895,1.5272410347558991,1.6257239828946013,-0.3288781034786142,-0.3288781034786142,0.3013041986800167,0.4705350801889271,0.0624067639297098,0.8142983902181562,0.123170585570435,0.4661773226368133,5.0
2020-10-28,1758,AAVE,34.8893292348162,35.5148592428074,31.9783781461248,32.4084817680288,36841412.8874457,1102474.99165593,-0.1046981798481674,0.2314249315656944,0.627226154877178,0.4302440484908807,-0.8543988207579218,-0.0737608583695129,-0.1872772834819612,1.596795687202787,-0.2500392810877621,1.4483684761980264,-0.358822636900585,1.3521899025765285,0.7485556617760443,1.910456631485895,1.5272410347558991,1.6257239828946013,-0.0772243673398139,-0.0772243673398139,0.3013041986800167,0.4705350801889271,0.0624067639297098,0.8142983902181562,0.123170585570435,0.4661773226368133,5.0
2020-11-04,1765,AAVE,28.1329227411343,28.3687933882205,26.1873701485899,27.7075643537963,41023427.0318997,1483932.17791818,-0.1505908392188395,-0.076823221640101,0.1478956933762774,0.4302440484908807,-0.8543988207579218,-0.0152350610400053,-0.3807050673453743,1.1230219773747696,-0.2500392810877621,1.4257075358225666,-0.358822636900585,1.3521899025765285,0.7485556617760443,1.910456631485895,1.5272410347558991,1.6257239828946013,-0.1450520714879642,-0.1450520714879642,0.3013041986800167,0.4705350801889271,0.0624067639297098,0.8142983902181562,0.123170585570435,0.4661773226368133,5.0
2020-11-11,1772,AAVE,67.2105092767527,68.6961945231808,54.2012610740132,54.6139354639555,84242067.8048104,1371692.5261671,-0.3547754496177973,0.0040209867372276,0.1913330751011095,0.3982680043894042,-0.8543988207579218,-0.2075405448854466,-0.2110748843757907,2.4014162841570204,-0.4705350801889273,2.0975443009431896,-0.358822636900585,2.1185087851822235,0.7485556617760443,1.910456631485895,1.5272410347558991,1.6257239828946013,0.9710839526200604,0.9710839526200604,0.3013041986800167,0.4705350801889271,0.0624067639297098,0.8142983902181562,0.123170585570435,0.4661773226368133,5.0
2020-11-18,1779,AAVE,78.8711411711741,79.5715385312143,67.5275840521329,75.5613365553935,17910407.7866568,241734.341193578,-0.3609824346295482,-1.4038039009876115,-1.2813078935484512,-1.185406337733859,-0.8543988207579218,-0.0428706651796364,0.6851741422158355,2.388664011550585,0.5550376352258035,2.1966739138973908,0.0436198069148723,2.02414852798449,0.7485556617760443,1.910456631485895,1.5272410347558991,1.6257239828946013,0.3835541407790144,0.3835541407790144,0.1348779158657417,0.4705350801889271,0.0624067639297098,0.8142983902181562,0.123170585570435,0.4661773226368133,5.0
2020-11-25,1786,AAVE,66.7860700781944,67.4066526504503,59.3874723921968,61.734044780729,11303022.2271945,175363.460387046,-0.3844135845252552,-0.6265246658602344,-1.5664755845222764,-1.5362482118473864,-1.3762679589008506,-0.0786589690298615,1.7271013644705513,1.606956869205339,1.3315296623964428,2.1946220390588502,1.1514787592838678,2.024087277591712,0.7485556617760443,1.9438846111910704,1.5272410347558991,1.6257239828946013,-0.1829942720048076,-0.1829942720048076,0.1773029419272811,0.4705350801889271,0.0624067639297098,0.8142983902181562,0.123170585570435,0.4661773226368133,5.0
2020-12-02,1793,AAVE,74.4893980523189,90.4013614215539,72.242297714656,86.819506873709,86560650.1055607,1033244.49302106,1.5379918016971246,1.593070970324895,1.4503498412839129,0.648588538367818,0.6556350511709326,0.1531745227493735,0.1303716580079217,1.3470111978457102,1.228057435595944,1.537040091479965,0.904873089168591,1.9953749160668053,0.1796782514722712,1.816240483186668,1.5272410347558991,1.6257239828946013,0.4063472947881543,0.4063472947881543,0.0980120100872343,0.1829942720048076,0.0624067639297098,0.8142983902181562,0.123170585570435,0.4661773226368133,5.0
2020-12-09,1800,AAVE,80.1328540371032,86.1013693496361,75.238582902311,82.6827881662866,49755175.3857841,610482.613865743,-0.1529370457193906,0.2620358115095946,0.4712697079329722,0.5153812300756719,0.0405154174748574,0.0313255238829683,0.1489937953924656,1.650992793571442,0.589695123344641,1.4931076241262022,2.133422547182988,1.6030090923741371,1.4720357453358437,1.887493311161308,1.5272410347558991,1.6257239828946013,-0.0476473416675797,-0.0476473416675797,0.1626922324542234,0.1829942720048076,0.0624067639297098,0.8142983902181562,0.123170585570435,0.4661773226368133,5.0
2020-12-16,1807,AAVE,87.4690983120106,89.7246542856033,81.0174037370623,87.4855116941459,80023644.5405124,940846.303511155,0.6141059314109043,0.4575798581334496,0.6944905519699951,0.8524701661266292,0.5311472466718712,0.0001876301765684,0.3393385847301069,1.418593605803793,0.094247295449471,1.4330587759932871,0.5139503766553539,1.360467693621415,1.5512700273375266,1.842452216728249,1.5272410347558991,1.6257239828946013,0.0580861341806755,0.0580861341806755,0.1626922324542234,0.1829942720048076,0.0624067639297098,0.8142983902181562,0.123170585570435,0.4661773226368133,5.0
