date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score,asset_5_symbol,asset_5_weight,asset_5_score,asset_6_symbol,asset_6_weight,asset_6_score
2020-02-12,Custom_Risk_5_positive,6,BTC,0.26915449697159155,0.7542620135141875,ETH,0.1483392477763628,0.6800229407965857,GNO,0.120572983905744,0.3040775249376907,BNB,0.1476220587677143,-0.21377417188617723,DCR,0.14191860346690577,-0.3161967725010477,BCH,0.1723926091116815,-0.5170100353644154
2020-02-19,Custom_Risk_5_positive,6,BTC,0.26915449697159155,0.6981706764497042,ETH,0.1483392477763628,0.6680410327963452,GNO,0.120572983905744,0.2514081816005682,BNB,0.1476220587677143,-0.08208855907463565,DCR,0.14191860346690577,-0.3226997369799608,BCH,0.1723926091116815,-0.5160675679150696
2020-02-26,Custom_Risk_5_positive,6,BTC,0.2604460546241036,0.6823015865386652,ETH,0.15396173098596594,0.6800023532492703,GNO,0.11855505615564389,0.5276175067696734,BNB,0.18734710739002008,-0.041704077465314425,DCR,0.13385316053310697,-0.49362484264380346,BCH,0.14583689031115957,-0.5236456653670412
2020-03-04,Custom_Risk_5_positive,6,BTC,0.26133931335286315,0.95593989811442,ETH,0.1557070388769867,0.7191101582725582,GNO,0.128594894832354,0.4364081383633699,DCR,0.1485881096311794,-0.2850480348452661,BNB,0.17151014166704617,-0.3296507008501115,BCH,0.13426050163957065,-0.6073243429932182
2020-03-11,Custom_Risk_5_positive,6,BTC,0.22747887144297463,0.833531562384849,ETH,0.14439751048928004,0.3625096165375032,GNO,0.1461195240472283,0.0896887120129461,DCR,0.19621360975822005,0.0777076761778378,BNB,0.1565502316695938,-0.07737610367434283,ETC,0.12924025259270325,-0.6243247832089699
2020-03-18,Custom_Risk_5_positive,6,BTC,0.17322497543722798,1.2296943688281032,ETH,0.14254494390514355,0.36659446498428877,GNO,0.21366797833301907,0.26944929837235065,DCR,0.17482150951147146,-0.15673640275516101,BNB,0.15788968086140348,-0.2477591930757811,BCH,0.1378509119517344,-0.6691631609334685
2020-03-25,Custom_Risk_5_positive,6,BTC,0.172207859437806,1.1666246092405215,GNO,0.2064497362997768,0.5528850569221072,ETC,0.16109081040320355,-0.17392058723798004,ETH,0.14536256396828942,-0.2035728778079084,DCR,0.17370032664727608,-0.4098156752341524,BCH,0.1411887032436482,-0.44249723873141306
2020-04-01,Custom_Risk_5_positive,6,BTC,0.1588109573858874,1.5111090624748678,DCR,0.17458548637793278,-0.0499309764832552,BCH,0.14176490961293023,-0.17001632971974534,ETH,0.1505154515298194,-0.2032995965104279,GNO,0.1351438644263625,-0.29790137083169477,ETC,0.2391793306670677,-0.3472357499132642
2020-04-08,Custom_Risk_5_positive,6,BTC,0.16984098725697414,1.390086030490749,BCH,0.1615747491373965,0.07874266666789143,BNB,0.1571128731826795,-0.0611077488036737,DCR,0.16844761847676448,-0.17085127531719937,ETH,0.13634689435892414,-0.19446639873773752,ETC,0.20667687758726122,-0.20998579052268596
2020-04-15,Custom_Risk_5_positive,6,BTC,0.2676283372780451,0.7630392375498203,ETH,0.15247636621074245,0.35667736655823296,BCH,0.17363809121322882,0.2086081401602112,BNB,0.17905006658604156,-0.029634638758985296,GNO,0.0520098448771192,-0.14420785903411854,ETC,0.17519729383482274,-0.39177342235570956
2020-04-22,Custom_Risk_5_positive,6,BTC,0.23113811769837608,0.9185886484204129,ETH,0.13281154075271723,0.7142383929859553,BNB,0.1343387780681733,0.2807901014144369,BCH,0.1453758867863548,-0.19363826541194087,ETC,0.15272788058739634,-0.26796403160627047,DCR,0.20360779610698215,-0.2930207936971583
2020-04-29,Custom_Risk_5_positive,6,BTC,0.20009606439348462,0.5616566055590683,ETH,0.1596422735671108,0.45338706345436214,GNO,0.018837675435583432,0.32008778375575797,BNB,0.19535057297124636,0.09397384366699336,BCH,0.19562008292744304,-0.36464727160119187,DCR,0.2304533307051318,-0.4933274864530945
2020-05-06,Custom_Risk_5_positive,6,BTC,0.1867176513298244,0.6700428520315882,ETH,0.19093575023411866,0.5107730652234144,GNO,0.016567764288678653,0.362000905508556,BNB,0.2561801286309999,-0.12296741561478847,ETC,0.12233925162416427,-0.3354592803445116,BCH,0.22725945389221403,-0.5036859089459831
2020-05-13,Custom_Risk_5_positive,6,BTC,0.1744872858641857,0.804305661489318,GNO,0.18824599817437032,0.49516856284323446,ETH,0.16637890641876202,-0.028332130657167102,ETC,0.12379703841739811,-0.08601651752473333,DCR,0.15366508115325017,-0.10410290525313648,BNB,0.19342568997203363,-0.38746925245005437
2020-05-20,Custom_Risk_5_positive,6,BTC,0.16320929245675517,1.259494989862417,GNO,0.14008854926164402,0.15241407150591876,ETH,0.1681398098958308,-0.025875185827315662,DCR,0.16668719063141726,-0.27987580968748665,ETC,0.16976800636803982,-0.340254857173771,BNB,0.192107151386313,-0.35501216037166294
2020-05-27,Custom_Risk_5_positive,6,BTC,0.1596459291656565,1.2785576306982385,GNO,0.11879327099673466,0.1902797755853913,ETH,0.15925102451256992,0.1267776927940581,BNB,0.19175165807535394,-0.08297760687453923,ETC,0.19017039132025418,-0.3782637060185569,BCH,0.18038772592943086,-0.4859542016651135
