date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score,asset_5_symbol,asset_5_weight,asset_5_score,asset_6_symbol,asset_6_weight,asset_6_score,asset_7_symbol,asset_7_weight,asset_7_score,asset_8_symbol,asset_8_weight,asset_8_score
2020-10-14,Custom_Risk_0_negative,8,BTC,0.23501425539657103,0.9265694092446047,ETC,0.17832660808394776,0.7837513465754664,DCR,0.11582561108382507,0.5487443458570831,ETH,0.1368607329576278,0.2139266661772176,BCH,0.13193827719831644,-0.037453598474551875,BNB,0.09606272286482444,-0.0692752278403074,GNO,0.07006048029895032,-0.6715410772127499,AAVE,0.035911312115937115,-1.6947218643267625
2020-10-21,Custom_Risk_0_negative,8,ETC,0.18692638227624697,0.4558196187774235,BTC,0.1891994207910241,0.43112432429778946,BCH,0.117860759301633,0.27279460275836687,ETH,0.1489334244160827,0.24780880559030583,BNB,0.13473690715683315,0.2081213884754099,DCR,0.1147075684158373,-0.007034555928027514,AAVE,0.04636325383189309,-0.3998398655402463,GNO,0.0612722838104497,-1.2087943184310217
2020-10-28,Custom_Risk_0_negative,8,GNO,0.04983283997775612,0.46079465397094743,BTC,0.17972255472749363,0.31482174060978885,ETC,0.15999909603365203,0.22214058225750258,DCR,0.11662863766035521,0.16237715911934644,ETH,0.13941400478567958,0.1576326799906639,BNB,0.16786865104000104,0.011108205897738255,BCH,0.1341562416063522,0.0072904171842669285,AAVE,0.05237797416871016,-0.4511300863601433
2020-11-04,Custom_Risk_0_negative,8,BCH,0.13834677261732342,0.5828962346904873,BNB,0.16067164722205196,0.574915100881133,ETC,0.14358480288499517,0.5707344960807701,BTC,0.20799504219998166,0.4694543236979825,ETH,0.13375802956549432,0.25228843164454823,DCR,0.10285551519789478,-0.03942000184402206,AAVE,0.06387618407010073,-0.08773829701045643,GNO,0.048912006242157934,-1.1238046793662657
2020-11-11,Custom_Risk_0_negative,8,BTC,0.14166530896452778,0.6999428679356996,ETC,0.14923537804133966,0.5486262127588577,BNB,0.17404638638615783,0.5224450413606596,BCH,0.14681060435461904,0.4943624055372526,ETH,0.1333388026187325,0.42311839271040563,DCR,0.10038055028320791,0.12466818261729778,GNO,0.09677970535351954,-0.06924898244789152,INJ,0.05774326399789577,-0.9665906445887473
2020-11-18,Custom_Risk_0_negative,8,BCH,0.14736266322161898,0.6489005022661944,BNB,0.21085123778799897,0.614041156528833,BTC,0.13397576224533717,0.5722864957476671,ETH,0.13145248987900854,0.5371498801603232,GNO,0.12295264855814715,0.2730789976174112,ETC,0.13176791236457894,0.20955962511333656,DCR,0.08235517308683903,-0.06897203633379652,AAVE,0.03928211285647127,-1.2542168799690405
2020-11-25,Custom_Risk_0_negative,8,BTC,0.2415678897074746,0.8088174223349595,BNB,0.1642147928569624,0.26838171170886116,ETH,0.14472275713179758,0.09132580700673487,ETC,0.11522394141544318,0.021611072804266718,DCR,0.08962430176667338,-0.016504962512060063,AAVE,0.07660215907573865,-0.11963906193304752,GNO,0.10484696428527711,-0.19155884060870923,INJ,0.06319719376063303,-0.3986778339248026
2020-12-02,Custom_Risk_0_negative,8,BTC,0.18887219778344227,0.8985319900953148,BNB,0.15092501056133464,0.6250904941711422,ETC,0.11261924071143081,0.5033141378721756,ETH,0.1380300456595286,0.4615200410764844,BCH,0.08891984213757131,0.08688875266925128,GNO,0.09206941533084523,-0.02296359948193666,DCR,0.12841434391589426,-0.22268615685700194,INJ,0.10014990389995285,-1.1122941809265603
2020-12-09,Custom_Risk_0_negative,8,BTC,0.17373338464323396,0.9716354377086651,BNB,0.17417163892206236,0.7130101374796853,ETH,0.13614260083361893,0.5401830022575168,ETC,0.1235704171771175,0.2449387422888903,BCH,0.11864376635503743,0.21876454617265964,DCR,0.09061126099194326,-0.19203659170298149,GNO,0.09881089350866815,-0.3583520322037066,AAVE,0.08431603756831847,-0.4730909080728295
2020-12-16,Custom_Risk_0_negative,8,BNB,0.17740598736372212,0.6930896572111969,BTC,0.16135034754143895,0.6847814172578688,ETC,0.12394082078682439,0.4530410241938559,ETH,0.12396018879231077,0.44517892999319253,GNO,0.12067682756546773,0.13326582632394654,BCH,0.15468415399613966,0.07390845291646099,AAVE,0.07532637997744691,-0.2402474566606141,DCR,0.06265529397664943,-0.4891178534346512
2020-12-23,Custom_Risk_0_negative,8,ETC,0.11127164899381566,0.5699560323942657,ETH,0.14767327598441504,0.5402390826282121,BTC,0.1734504167052407,0.4252737204850267,BNB,0.15174303721108537,0.3341577455557533,BCH,0.09483425795114132,0.22586394386556238,AAVE,0.11668146325029272,0.03480714793109524,GNO,0.11280351677551134,0.02537288599615461,DCR,0.09154238312849787,-0.3487438717751611
2020-12-30,Custom_Risk_0_negative,8,BTC,0.19703162824672216,0.5161283681268614,ETC,0.10552517574577466,0.2893071414631304,BNB,0.13592915397932076,0.22979999519036992,AAVE,0.11629197452579311,0.20971072271337188,ETH,0.1502004061259571,0.033805341708242787,GNO,0.09951780215687388,-0.044476152814080794,DCR,0.10405318660426349,-0.2944908751063609,BCH,0.09145067261529498,-0.4503489527089978
