date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score,asset_5_symbol,asset_5_weight,asset_5_score,asset_6_symbol,asset_6_weight,asset_6_score,asset_7_symbol,asset_7_weight,asset_7_score,asset_8_symbol,asset_8_weight,asset_8_score
2020-10-14,Custom_Risk_0,8,BTC,0.23501425539657103,0.9611562164382579,ETC,0.17832660808394776,0.5105614932016316,ETH,0.1368607329576278,0.23713596395693723,DCR,0.11582561108382507,0.21210927409848496,BNB,0.09606272286482444,0.05818242207765945,BCH,0.13193827719831644,-0.03783101229028299,GNO,0.07006048029895032,-0.6275221805216359,AAVE,0.035911312115937115,-1.3137921769610525
2020-10-21,Custom_Risk_0,8,BTC,0.1891994207910241,0.6030863808777506,ETH,0.1489334244160827,0.24062648757181632,BCH,0.117860759301633,0.23640308311791858,ETC,0.18692638227624697,0.2355260381173182,BNB,0.13473690715683315,0.2240697237698498,DCR,0.1147075684158373,-0.17110658963647907,AAVE,0.04636325383189309,-0.425499473644381,GNO,0.0612722838104497,-0.9431056501737933
2020-10-28,Custom_Risk_0,8,BTC,0.18415801973717708,0.551224025704326,GNO,0.05106269016762035,0.39055788414469195,ETH,0.14285467443910357,0.13325837683603614,ETC,0.1639477957008379,0.03108915919552907,DCR,0.11950697556432013,-0.0008797357982242744,BCH,0.13746715222843778,-0.014513211447834323,BNB,0.1720115674871863,-0.060656761436549786,INJ,0.028991124675316966,-0.5142902374816004
2020-11-04,Custom_Risk_0,8,BTC,0.21325072573177328,0.7190732557715556,BCH,0.14184256197283263,0.4213693008952581,BNB,0.16473154846488477,0.3508399670018599,ETC,0.14721294842133278,0.3099606346659377,ETH,0.13713786913184495,0.23611251588803728,DCR,0.10545450040283909,-0.12460813021151916,AAVE,0.06549022739123019,-0.27256070032858526,INJ,0.02487961848326226,-0.694697586346843
2020-11-11,Custom_Risk_0,8,BTC,0.14166530896452775,0.8881439567169539,ETH,0.1333388026187325,0.4011472628838597,BCH,0.146810604354619,0.257550391364769,BNB,0.1740463863861578,0.24464363366141,ETC,0.14923537804133963,0.241899039739395,DCR,0.1003805502832079,0.04905624494052335,GNO,0.09677970535351953,-0.08400172468458579,INJ,0.05774326399789576,-0.5316905261822122
2020-11-18,Custom_Risk_0,8,BTC,0.13397576224533717,0.7366211664112134,ETH,0.13145248987900854,0.4106659537757534,BCH,0.14736266322161898,0.3018787431127724,BNB,0.21085123778799897,0.23732073846640023,GNO,0.12295264855814715,0.14582877429232732,ETC,0.13176791236457894,-0.04032871344054049,DCR,0.08235517308683903,-0.05236010588421339,AAVE,0.03928211285647127,-0.8093944016892065
2020-11-25,Custom_Risk_0,8,BTC,0.24156788970747464,0.8674476594719558,ETH,0.1447227571317976,0.0877002019031945,AAVE,0.07660215907573867,0.07575752252276152,BNB,0.16421479285696242,0.0009154587285942345,DCR,0.08962430176667341,-0.027018090254682332,ETC,0.1152239414154432,-0.11556496979302794,INJ,0.06319719376063304,-0.1251157365466597,GNO,0.10484696428527712,-0.273832236991801
2020-12-02,Custom_Risk_0,8,BTC,0.18887219778344227,0.9153520326279574,ETH,0.1380300456595286,0.4026683348017259,ETC,0.11261924071143081,0.307033161522793,BNB,0.15092501056133464,0.22897012709696946,BCH,0.08891984213757131,-0.0624822811663813,DCR,0.12841434391589426,-0.12971331601794583,GNO,0.09206941533084523,-0.17252553317471372,INJ,0.10014990389995285,-0.6267417492559175
2020-12-09,Custom_Risk_0,8,BTC,0.17373338464323396,0.9349479044866704,ETH,0.13614260083361893,0.46534151040065735,BNB,0.17417163892206236,0.3463916751691194,BCH,0.11864376635503743,0.060033232553141816,ETC,0.1235704171771175,0.028699252509677455,DCR,0.09061126099194326,-0.0445174774848136,AAVE,0.08431603756831847,-0.23122386814945559,GNO,0.09881089350866815,-0.4735449734260956
2020-12-16,Custom_Risk_0,8,BTC,0.16135034754143895,0.7258138124240959,BNB,0.17740598736372212,0.33179112342319395,ETH,0.12396018879231077,0.3146807745848884,ETC,0.12394082078682439,0.17718471850364437,GNO,0.12067682756546773,-0.029253638682780664,BCH,0.15468415399613966,-0.08130376020049075,AAVE,0.07532637997744691,-0.17073682220861472,DCR,0.06265529397664943,-0.3288106450250521
2020-12-23,Custom_Risk_0,8,BTC,0.1734504167052407,0.5501658897416284,ETH,0.14767327598441504,0.384249432292743,ETC,0.11127164899381566,0.26304983990634767,BNB,0.15174303721108537,0.09372686727971316,BCH,0.09483425795114132,0.06553958154678358,AAVE,0.11668146325029272,-0.02704738277265123,GNO,0.11280351677551134,-0.10666888137880892,DCR,0.09154238312849787,-0.26628949401293184
2020-12-30,Custom_Risk_0,8,BTC,0.20575844119449974,0.6706324853534619,BNB,0.14194965084818795,0.061327045772219466,ETC,0.11019903688273683,0.039861386075363325,AAVE,0.12144271259787316,0.0364281931222078,ETH,0.1568529971876323,0.001853878175241297,INJ,0.05120972193915693,-0.0028427252952250015,GNO,0.1039255881155296,-0.14400641328680092,DCR,0.1086618512343834,-0.23283186330937822
2021-01-06,Custom_Risk_0,8,BTC,0.1815256751344344,0.9848181493666615,BNB,0.19128322049552812,0.7129855660864206,BCH,0.1068346358965301,0.013744267443905014,DCR,0.11603514855415582,-0.06383088787868507,ETC,0.14451693656040276,-0.13805235900521048,ETH,0.1028292612294449,-0.22448496089012018,INJ,0.058243578261566765,-0.32850932857016496,GNO,0.09873154386793716,-0.3734602911825794
