date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score
2020-02-12,Custom_Risk_8_negative,4,BTC,0.6283675602730404,0.8994813333013669,ETH,0.16240857801168695,0.23248094511125708,DCR,0.07210598479118069,-0.1032166385400242,GNO,0.137117876924092,-0.1962783863341753
2020-02-19,Custom_Risk_8_negative,4,BTC,0.6374827956434316,0.7097024144833302,ETH,0.22828274578480434,0.25414460903973923,BNB,0.011392572010623646,0.012683222070258418,DCR,0.12284188656114053,-0.13675848836694338
2020-02-26,Custom_Risk_8_negative,4,BTC,0.40966567601305354,0.5936641345305195,ETH,0.2661487040165502,0.3856875234560048,GNO,0.24322003086249433,0.352460597938569,BNB,0.08096558910790184,0.11733071428460269
2020-03-04,Custom_Risk_8_negative,4,BTC,0.5267230038318051,1.0632492577648662,ETH,0.2682797062780872,0.5415525741204175,GNO,0.1063350247196477,0.21464913300744504,DCR,0.09866226517045988,-0.19916081023374044
2020-03-11,Custom_Risk_8_negative,4,BTC,0.5141804083880765,0.567595873881801,DCR,0.30235092254062135,0.33376055038037944,BNB,0.13787609703046066,0.1521993107958935,ETH,0.04559257204084138,0.05032894164747881
2020-03-18,Custom_Risk_8_negative,4,BTC,0.5541929474398868,0.8523559879394367,ETH,0.22225984198790655,0.3418385384945993,GNO,0.15430537835057184,0.23732368630085557,DCR,0.06924183222163488,0.10649484188250169
2020-03-25,Custom_Risk_8_negative,4,GNO,0.4612079710342775,0.820564042120004,BTC,0.3929360773094556,0.6990972319250354,ETC,0.018209119582096346,-0.03239698727284357,DCR,0.12764683207417055,-0.22710448879646572
2020-04-01,Custom_Risk_8_negative,4,BTC,0.6107617820192235,1.1112001506391314,DCR,0.1947946358850714,0.3544030342297567,ETC,0.09653762590393725,-0.17563742133986832,GNO,0.09790595619176787,-0.17812691702660666
2020-04-08,Custom_Risk_8_negative,4,BTC,0.7848869271488498,1.1930246903810868,DCR,0.1551383066345875,0.2358095463652367,ETC,0.03794826790582093,0.057681200951197296,BNB,0.02202649831074169,0.033480180925944535
2020-04-15,Custom_Risk_8_negative,4,BTC,0.5358802442427747,0.5284461352902804,BCH,0.19532947048662352,0.1926197222157529,ETH,0.1492387028702244,0.14716835825687913,BNB,0.11955158240037736,-0.11789307847425602
2020-04-22,Custom_Risk_8_negative,4,BTC,0.4976704676548315,0.7889539698426391,ETH,0.29501830247516864,0.4676907231623253,BNB,0.18895693817517675,0.29955228648610877,DCR,0.01835429169482319,0.029096947151631844
2020-04-29,Custom_Risk_8_negative,4,ETH,0.3445588209970465,0.36171717414298477,BTC,0.3034898143088134,0.3186030115128127,BNB,0.3032831875208252,0.3183860951162536,BCH,0.04866817717331499,0.05109175689329548
2020-05-06,Custom_Risk_8_negative,4,ETH,0.4861967472622227,0.5802449070678961,BTC,0.3241735709655992,0.38688054705835634,BNB,0.12749243131939964,0.15215411123037997,BCH,0.06213725045277849,-0.07415685793344362
2020-05-13,Custom_Risk_8_negative,4,BTC,0.5364730942802102,0.41981662578651535,DCR,0.29991407003010895,0.2346975351576092,ETC,0.1490245366106537,0.11661904163753983,GNO,0.014588299079027131,-0.011416062726386803
2020-05-20,Custom_Risk_8_negative,4,BTC,0.9384245651035052,0.939459772757237,DCR,0.01899160264921046,0.01901255292390508,BCH,0.004968322524922896,0.004973803248355835,ETH,0.03761550972236153,-0.03765700465441216
2020-05-27,Custom_Risk_8_negative,4,BTC,0.6273152818126161,0.9991896459594107,BNB,0.19657521068755526,0.3131055800262903,ETH,0.11302540390150476,0.18002719937324616,BCH,0.06308410359832395,-0.10048054776848961
2020-06-03,Custom_Risk_8_negative,4,BTC,0.4975556161111214,0.5830548127248762,GNO,0.19823286034693013,0.23229689209192392,ETC,0.18910095753619446,0.22159577705929584,BNB,0.11511056600575403,0.13489098973440217
2020-06-10,Custom_Risk_8_negative,4,BTC,0.5692861723360411,0.4605207399487754,ETH,0.2359771591361667,0.19089235118862108,BNB,0.18656937147731018,0.15092420856094868,ETC,0.008167297050481956,0.006606887473896372
2020-06-17,Custom_Risk_8_negative,4,GNO,0.5667602485579172,0.39165418457825657,BTC,0.28653627965812833,0.1980081229181751,ETH,0.017518191455747775,-0.012105776661902823,DCR,0.12918528032820686,-0.08927223769697207
2020-06-24,Custom_Risk_8_negative,4,BTC,0.5940558678528459,0.6051682246929244,BCH,0.19530372831429454,0.1989570626868182,BNB,0.1588221184345603,0.16179303101980425,ETH,0.051818285398299205,-0.05278759368956848
2020-07-01,Custom_Risk_8_negative,4,BTC,0.43681721817206587,0.3837335539645548,DCR,0.2809125180265707,0.24677497683483363,ETH,0.20337703065034138,0.17866189225048373,ETC,0.07889323315102205,0.06930583200791035
2020-07-08,Custom_Risk_8_negative,4,BTC,0.6102866541420847,0.9162824728830812,ETH,0.29840511410088155,0.44802450457265997,BNB,0.035849122774835415,-0.053823760758772626,GNO,0.05545910898219824,-0.0832661326889676
2020-07-15,Custom_Risk_8_negative,4,BTC,0.4163819606852447,0.6458789093035425,ETH,0.33406845729000384,0.5181967308864515,ETC,0.14004528394917418,0.21723394332775398,BCH,0.1095042980755774,0.1698597040292247
2020-07-22,Custom_Risk_8_negative,4,BTC,0.5346966544636444,0.6578055897410925,BNB,0.34629909780002843,0.4260312466021696,ETH,0.0603630822376184,0.07426112091488024,DCR,0.05864116549870895,0.0721427488501446
