date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score
2020-02-12,Custom_Risk_8_positive,4,ETH,0.3762617400008987,0.8166687735267913,BTC,0.3188281116666466,0.692010202578772,GNO,0.21857816489343715,0.47441964692672106,BNB,0.08633198343901766,-0.18738188748903734
2020-02-19,Custom_Risk_8_positive,4,ETH,0.3953229253822344,0.7961852581046235,BTC,0.3315396830237975,0.6677250196026446,GNO,0.22072017667533533,0.44453316403351534,BNB,0.05241721491863287,-0.1055689187485526
2020-02-26,Custom_Risk_8_positive,4,ETH,0.3595264752540229,0.7769124628976243,BTC,0.31341657579468196,0.6772720802871156,GNO,0.2871435844801818,0.620497918174536,BNB,0.0399133644711132,-0.08625008845836343
2020-03-04,Custom_Risk_8_positive,4,BTC,0.35806475197761667,0.9106536032886714,ETH,0.3088245553611309,0.7854227275105147,GNO,0.20895034350005665,0.5314161256191647,DCR,0.12416034916119578,-0.3157726883887486
2020-03-11,Custom_Risk_8_positive,4,BTC,0.5789950137952434,0.8793700572137163,ETH,0.301711883715972,0.4582360644286987,GNO,0.11833971628968501,0.17973281393597068,DCR,0.0009533861990997619,0.0014479904946912217
2020-03-18,Custom_Risk_8_positive,4,BTC,0.5942865240523374,1.335188183529957,ETH,0.17978059209710326,0.40391446294166955,GNO,0.11897329615543059,0.2672982353682839,DCR,0.1069595876951286,-0.2403069425703398
2020-03-25,Custom_Risk_8_positive,4,BTC,0.5998537131771429,1.2944548720856495,GNO,0.2251396778121012,0.4858403748141918,ETH,0.07797808230831084,-0.16827287444010605,ETC,0.09702852670244516,-0.2093827984426963
2020-04-01,Custom_Risk_8_positive,4,BTC,0.780422658024254,1.6389445443153463,BCH,0.04698654430155527,-0.09867517254588996,DCR,0.07938449733974245,-0.16671323862837353,ETH,0.0932063003344483,-0.19574003376028865
2020-04-08,Custom_Risk_8_positive,4,BTC,0.8054589298113994,1.4550877418111123,BCH,0.07420351018340784,0.1340510534690017,BNB,0.049744440635790005,-0.08986494917790183,ETH,0.07059311936940285,-0.12752876509132338
2020-04-15,Custom_Risk_8_positive,4,BTC,0.5554645957282928,0.8174853312999982,ETH,0.28499600184604856,0.4194327645361845,BCH,0.15105655102331236,0.22231212503547468,BNB,0.00848285140234636,-0.012484335891693545
2020-04-22,Custom_Risk_8_positive,4,BTC,0.4190475756102155,0.9529126476018553,ETH,0.3490782325634822,0.7938026185400389,BNB,0.12342711020696535,0.28067279521160443,BCH,0.10844708161933686,-0.2466082652312034
2020-04-29,Custom_Risk_8_positive,4,BTC,0.3590302042541039,0.6171691856289953,GNO,0.3414807849309781,0.5870019164032292,ETH,0.28038930829533715,0.4819863036850122,BNB,0.019099702519580652,0.032832189910748766
