date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score,asset_5_symbol,asset_5_weight,asset_5_score,asset_6_symbol,asset_6_weight,asset_6_score,asset_7_symbol,asset_7_weight,asset_7_score,asset_8_symbol,asset_8_weight,asset_8_score
2020-10-14,Custom_Risk_0_positive,8,BTC,0.23501425539657103,0.9957430236319113,ETH,0.1368607329576278,0.26034526173665684,ETC,0.17832660808394776,0.2373716398277969,BNB,0.09606272286482444,0.18564007199562618,BCH,0.13193827719831644,-0.03820842610601399,DCR,0.11582561108382507,-0.12452579766011324,GNO,0.07006048029895032,-0.5835032838305216,AAVE,0.035911312115937115,-0.9328624895953423
2020-10-21,Custom_Risk_0_positive,8,BTC,0.1891994207910241,0.7750484374577116,BNB,0.13473690715683315,0.24001805906428975,ETH,0.1489334244160827,0.2334441695533268,BCH,0.117860759301633,0.20001156347747015,ETC,0.18692638227624697,0.015232457457212977,DCR,0.1147075684158373,-0.3351786233449306,AAVE,0.04636325383189309,-0.4511590817485158,GNO,0.0612722838104497,-0.6774169819165651
2020-10-28,Custom_Risk_0_positive,8,BTC,0.18415801973717708,0.7876263107988634,GNO,0.05106269016762035,0.3203211143184366,ETH,0.14285467443910357,0.10888407368140836,BCH,0.13746715222843778,-0.03631684007993548,BNB,0.1720115674871863,-0.13242172877083785,INJ,0.028991124675316966,-0.14354512229308958,ETC,0.1639477957008379,-0.15996226386644438,DCR,0.11950697556432013,-0.16413663071579496
2020-11-04,Custom_Risk_0_positive,8,BTC,0.21325072573177328,0.9686921878451287,BCH,0.14184256197283263,0.2598423671000287,ETH,0.13713786913184495,0.21993660013152638,BNB,0.16473154846488477,0.1267648331225868,ETC,0.14721294842133278,0.049186773251105306,INJ,0.02487961848326226,-0.19006956391950913,DCR,0.10545450040283909,-0.2097962585790162,AAVE,0.06549022739123019,-0.4573831036467141
2020-11-11,Custom_Risk_0_positive,8,BTC,0.14166530896452778,1.0763450454982082,ETH,0.1333388026187325,0.3791761330573138,BCH,0.14681060435461904,0.020738377192285377,DCR,0.10038055028320791,-0.026555692736251087,BNB,0.17404638638615783,-0.033157774037839635,ETC,0.14923537804133966,-0.06482813328006774,INJ,0.05774326399789577,-0.09679040777567709,GNO,0.09677970535351954,-0.09875446692128002
2020-11-18,Custom_Risk_0_positive,8,BTC,0.1328567939653591,0.9009558370747599,ETH,0.1303545960209434,0.28418202739118364,GNO,0.12192574554695979,0.01857855096724348,DCR,0.08166734101309776,-0.035748175434630235,BCH,0.14613188727353274,-0.045143016040649686,BNB,0.20909020397916095,-0.13939967959603256,ETC,0.1306673840915254,-0.2902170519944175,INJ,0.04730604810942085,-0.32863656895808474
2020-11-25,Custom_Risk_0_positive,8,BTC,0.2415678897074746,0.9260778966089519,AAVE,0.07660215907573865,0.27115410697857034,INJ,0.06319719376063303,0.1484463608314831,ETH,0.14472275713179758,0.0840745967996542,DCR,0.08962430176667338,-0.03753121799730462,ETC,0.11522394141544318,-0.2527410123903225,BNB,0.1642147928569624,-0.2665507942516726,GNO,0.10484696428527711,-0.35610563337489276
2020-12-02,Custom_Risk_0_positive,8,BTC,0.18887219778344227,0.9321720751605997,ETH,0.1380300456595286,0.34381662852696765,ETC,0.11261924071143081,0.11075218517341036,DCR,0.12841434391589426,-0.03674047517888965,INJ,0.10014990389995285,-0.14118931758527492,BNB,0.15092501056133464,-0.16715023997720307,BCH,0.08891984213757131,-0.21185331500201404,GNO,0.09206941533084523,-0.32208746686749073
2020-12-09,Custom_Risk_0_positive,8,BTC,0.17637428753361248,0.8982603712646755,ETH,0.13821209017663424,0.3905000185437979,DCR,0.09198863323128496,0.10300163673335423,AAVE,0.0855977167791201,0.010643171773918284,BNB,0.17681920366959664,-0.02022678714144646,BCH,0.1204472577573136,-0.0986980810663761,ETC,0.1254487980798926,-0.18754023726953536,INJ,0.08511201277254536,-0.507202178189903
2020-12-16,Custom_Risk_0_positive,8,BTC,0.17930881921527395,0.7668462075903231,ETH,0.13775709455068372,0.1841826191765843,BNB,0.19715146946144058,-0.029507410364809056,ETC,0.137735570864821,-0.09867158718656717,AAVE,0.08371028916468987,-0.10122618775661542,INJ,0.06059956783182767,-0.12483112783651235,DCR,0.06962889731398643,-0.16850343661545303,GNO,0.13410829159727677,-0.1917731036895079
2020-12-23,Custom_Risk_0_positive,8,BTC,0.18544282369978768,0.67505805899823,ETH,0.1578834447546216,0.22825978195727387,ETC,0.11896499979132859,-0.043856352581570335,AAVE,0.12474885001474613,-0.08890191347639767,BCH,0.10139112325005056,-0.09478478077199526,INJ,0.05146252081215388,-0.10652501812473864,BNB,0.16223459033267,-0.1467040109963269,DCR,0.0978716473446416,-0.1838351162507025
2020-12-30,Custom_Risk_0_positive,8,BTC,0.20575844119449974,0.8251366025800626,INJ,0.05120972193915693,0.483750137982087,ETH,0.1568529971876323,-0.03009758535776008,BNB,0.14194965084818795,-0.10714590364593093,AAVE,0.12144271259787316,-0.13685433646895637,DCR,0.1086618512343834,-0.17117285151239553,ETC,0.11019903688273683,-0.2095843693124038,GNO,0.1039255881155296,-0.243536673759521
