date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score,asset_5_symbol,asset_5_weight,asset_5_score,asset_6_symbol,asset_6_weight,asset_6_score
2020-02-12,Custom_Risk_5_negative,6,BTC,0.2596732681367753,0.9779700153368117,ETH,0.14311385355417136,0.05011606493983578,DCR,0.1369193826828321,-0.018750339059306703,BCH,0.16631991185115094,-0.07932948073628496,ETC,0.151551655549448,-0.14117228836574097,BNB,0.1424219282256223,-0.3697240524934314
2020-02-19,Custom_Risk_5_negative,6,BTC,0.2596732681367754,0.7434332587558347,ETH,0.1431138535541714,0.08357981119594837,BNB,0.14242192822562233,0.04541809711260404,DCR,0.13691938268283213,-0.06144404176126271,BCH,0.16631991185115094,-0.08533200523277323,ETC,0.15155165554944802,-0.1250120529003212
2020-02-26,Custom_Risk_5_negative,6,BTC,0.2645303751775608,0.5921504102445965,ETH,0.15637616211727798,0.2581598098513502,GNO,0.12041423906118505,0.23860335277610903,BNB,0.19028508870230448,0.1778091359271011,BCH,0.14812390751865706,-0.15240580634810105,ETC,0.1202702274230146,-0.5479699794504229
2020-03-04,Custom_Risk_5_negative,6,BTC,0.26133931335286315,1.1204778212017954,ETH,0.1557070388769867,0.45615451461714895,GNO,0.128594894832354,0.0948506854602984,DCR,0.1485881096311794,-0.15931000970421383,BCH,0.13426050163957065,-0.2719663025478407,BNB,0.17151014166704617,-0.4688296843035127
2020-03-11,Custom_Risk_5_negative,6,BTC,0.22747887144297463,0.4973576603573928,DCR,0.19621360975822005,0.43602730596762335,BNB,0.1565502316695938,0.23849012254253638,ETH,0.14439751048928004,-0.07732067237442075,GNO,0.1461195240472283,-0.2983308565467221,ETC,0.12924025259270325,-0.31356078960419664
2020-03-18,Custom_Risk_5_negative,6,BTC,0.17322497543722798,0.709075305756586,ETH,0.14254494390514355,0.2996604247109261,GNO,0.21366797833301907,0.23712891503008024,DCR,0.17482150951147146,0.21720639091572894,BNB,0.15788968086140348,0.023099135677408927,BCH,0.1378509119517344,-0.7253843697359569
2020-03-25,Custom_Risk_5_negative,6,GNO,0.20261827018009937,0.9138044894953307,BTC,0.1690118825825968,0.5246737624586421,ETC,0.1581011530012923,0.016916287414730696,DCR,0.17047665134279635,-0.13395400642888705,BNB,0.15712723843237908,-0.3326605852629581,ETH,0.14266480446083615,-0.33604623212872936
2020-04-01,Custom_Risk_5_negative,6,BTC,0.15881095738588738,0.9420629336413837,DCR,0.17458548637793275,0.5119683090333373,ETC,0.23917933066706767,-0.09362743625361153,GNO,0.1351438644263625,-0.12025816655239506,ETH,0.15051545152981938,-0.2008349156456219,BCH,0.1417649096129302,-0.45598110998314245
2020-04-08,Custom_Risk_5_negative,6,BTC,0.16984098725697414,1.1075136967748955,DCR,0.16844761847676448,0.40364097336817206,ETC,0.20667687758726122,0.1715949523350688,BNB,0.1571128731826795,0.07189047843873453,BCH,0.1615747491373965,-0.1486896872161361,ETH,0.13634689435892414,-0.5380433796110087
2020-04-15,Custom_Risk_5_negative,6,BTC,0.22408922945177734,0.45137958272195067,BCH,0.14538978367983865,0.17659198407633742,ETH,0.1276707532591142,0.06310531109185162,ETC,0.14669532747085048,-0.05906421347625243,BNB,0.1499213120054271,-0.14329276119583523,DCR,0.20623359413299214,-0.22302198321773453
2020-04-22,Custom_Risk_5_negative,6,BTC,0.23113811769837608,0.7417984219669971,ETH,0.13281154075271723,0.36260469710042076,BNB,0.1343387780681733,0.30114711809303285,DCR,0.20360779610698215,0.1675006180773414,ETC,0.15272788058739634,0.09857863836136194,BCH,0.1453758867863548,0.05207732833834999
2020-04-29,Custom_Risk_5_negative,6,BNB,0.16895458875947686,0.40187544580162454,ETH,0.13807123403282343,0.3237055672525239,BTC,0.17305886416297878,0.23972438303379323,BCH,0.1691876822340606,0.21867728776316142,DCR,0.19931422327216963,0.015058561387814237,ETC,0.15141340753849067,-0.4298076836338085
2020-05-06,Custom_Risk_5_negative,6,ETH,0.16212973131856348,0.5980346840734792,BTC,0.15854800688408852,0.2900285534712881,BNB,0.2175308467543193,0.26221592154372936,BCH,0.19297336488305342,0.10410308765277249,ETC,0.1038822220103837,-0.13604058840291533,DCR,0.16493582814959146,-0.39529967881616845
2020-05-13,Custom_Risk_5_negative,6,DCR,0.15366508115325017,0.36351139680065425,BTC,0.1744872858641857,0.28251616675366964,ETC,0.12379703841739811,0.18367031948299756,ETH,0.16637890641876202,-0.09656408803499249,BNB,0.19342568997203363,-0.10793638599277378,GNO,0.18824599817437032,-0.26083423901165914
2020-05-20,Custom_Risk_5_negative,6,BTC,0.15887726424233545,0.8059516491853708,BCH,0.1629129890372663,0.17385460895536292,DCR,0.1622628493336386,0.13777705329237624,BNB,0.18700809368273394,0.04440166551866008,ETH,0.1636769120456431,-0.030864164359544588,ETC,0.1652618916583826,-0.1708343898148028
2020-05-27,Custom_Risk_5_negative,6,BTC,0.15764241708015048,0.8766060670398443,BNB,0.1893452280061528,0.4851057610278029,ETH,0.15725246837081527,0.19950771248958768,BCH,0.17812391005347733,0.06108901786498308,ETC,0.1877838057097925,-0.25235208383452734,DCR,0.12985217077961167,-0.5779308520137338
