date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score,asset_5_symbol,asset_5_weight,asset_5_score,asset_6_symbol,asset_6_weight,asset_6_score,asset_7_symbol,asset_7_weight,asset_7_score
2020-04-22,Custom_Risk_2_positive,7,BTC,0.22292920987276413,0.878436045604386,ETH,0.1280947172920396,0.6211632612057068,BNB,0.12956771452595806,0.280927327538505,BCH,0.14021283853373778,-0.13167335996299234,DCR,0.1963766321282251,-0.1702154871988802,ETC,0.14730372507973982,-0.1712188514087846,GNO,0.035515162567535626,-1.3074189357779409
2020-04-29,Custom_Risk_2_positive,7,BTC,0.17028453605088054,0.4967173609489652,ETH,0.1358577969580914,0.4199313484675641,BNB,0.16624605679533558,0.16549804240071328,GNO,0.01603112400810339,0.00784860971532024,BCH,0.1664754135195228,-0.21813137732209578,DCR,0.19611899224231466,-0.3568126015821716,ETC,0.14898608042575165,-0.5150513826282953
2020-05-06,Custom_Risk_2_positive,7,BTC,0.15634846148576712,0.5890096584678737,ETH,0.1598804964561313,0.5241747423841855,GNO,0.013873056126965039,0.04938004330364715,BNB,0.21451302910795042,-0.02692010953527285,ETC,0.10244105811383981,-0.27534326987106433,BCH,0.19029623456102152,-0.34676013268841716,DCR,0.1626476641483247,-0.5135409320609521
2020-05-13,Custom_Risk_2_positive,7,BTC,0.1506121530978925,0.6879929117963745,GNO,0.1624882578503289,0.2675852737613506,DCR,0.13263905512558474,0.006881907249254721,ETC,0.10685786308636648,-0.03047711262126948,ETH,0.1436132449518829,-0.03431427556977739,BNB,0.16695921130785923,-0.3023190840309246,BCH,0.13683021458008518,-0.5953496205850091
2020-05-20,Custom_Risk_2_positive,7,BTC,0.13981118377456012,1.1418240723452662,ETH,0.14403484940904554,-0.01750525183341345,GNO,0.12000509046211832,-0.15186120294077635,DCR,0.14279048142071424,-0.17640484479247107,BNB,0.16456617048318917,-0.23739636764566785,BCH,0.14336260105039508,-0.2629805861166108,ETC,0.1454296233999776,-0.29567581901632617
2020-05-27,Custom_Risk_2_positive,7,BTC,0.14109198212343424,1.1692859352916283,ETH,0.14074297303472807,0.14339102722015795,BNB,0.16946640390205941,0.06999665853174825,GNO,0.10498719356923755,-0.07544049242573997,ETC,0.16806891095057042,-0.33774483539928013,BCH,0.15942318062938346,-0.34339536050681424,DCR,0.1162193557905869,-0.6260929327117007
2020-06-03,Custom_Risk_2_positive,7,BTC,0.13091427080605153,0.6779043379757475,GNO,0.17121112220767395,0.48781941502988707,ETC,0.13982271076249864,0.027277907675758023,BNB,0.1627014664590329,-0.09317423907988726,ETH,0.11193921633440967,-0.2866108617981224,BCH,0.1407820469322199,-0.394571028403005,DCR,0.1426291664981134,-0.4186455314003773
2020-06-10,Custom_Risk_2_positive,7,BTC,0.14713824512295398,0.529306909422139,ETH,0.12014624923216605,0.2700148226220188,GNO,0.10319846236189853,-0.05931753616177088,BNB,0.1857410027042358,-0.1301938934364844,DCR,0.1188031513841473,-0.13443086759730605,ETC,0.15487780942565868,-0.17877438146636354,BCH,0.17009507976893962,-0.29660505338223314
2020-06-17,Custom_Risk_2_positive,7,GNO,0.0740109861273606,0.5519539110112532,BTC,0.19115740929793315,0.38317862133090075,ETH,0.16473792469707174,0.08863181027146044,DCR,0.07510918519587623,-0.11089818776340635,BCH,0.14854127051911606,-0.29762038286724535,ETC,0.15827868406473025,-0.3074938131930985,BNB,0.18816454009791206,-0.3077519587898636
2020-06-24,Custom_Risk_2_positive,7,BTC,0.1774965899584056,0.648367016573012,GNO,0.09434903907889143,0.24845017264732006,ETH,0.1415752932090505,0.14278337303284822,BCH,0.14321317490346627,-0.07408582484382925,BNB,0.1812691826162005,-0.11282658221730013,DCR,0.10218073946314377,-0.42528261410267953,ETC,0.15991598077084201,-0.42740554108937123
2020-07-01,Custom_Risk_2_positive,7,BTC,0.20880157600026017,0.590865915246264,ETH,0.14198860919947442,0.29933090264638723,DCR,0.15466421067454073,0.029810259670276368,GNO,0.030042832320075076,-0.11721044667562255,ETC,0.13742179375338479,-0.17544561764167846,BCH,0.1411538764806931,-0.29751097059344955,BNB,0.18592710157157166,-0.3298400426521767
2020-07-08,Custom_Risk_2_positive,7,BTC,0.2826619840085945,0.9674365559754721,ETH,0.15578631602914556,0.5279203474442569,GNO,0.032841106661830814,0.06653108537208591,BNB,0.15896887904081677,-0.11555921518848397,BCH,0.11636126955102268,-0.2880827612791471,DCR,0.1486008384033148,-0.4941079969908091,ETC,0.10477960630527487,-0.6641380153333746
2020-07-15,Custom_Risk_2_positive,7,BTC,0.25275116259020225,0.6929636241649675,ETH,0.15544055780560959,0.5535565522021508,ETC,0.10963275103969021,0.08533075091533257,BCH,0.119812819999442,-0.01592826103916159,BNB,0.13356251306271233,-0.02117315671818426,DCR,0.12200399911622181,-0.5771387994986873,GNO,0.1067961963861219,-0.7176107100264172
2020-07-22,Custom_Risk_2_positive,7,BTC,0.28757878451198116,0.6398113778369215,BNB,0.11428176071624371,0.41359372095141655,ETH,0.12095557107317391,0.18205694694500332,DCR,0.11365096822448041,-0.05280523422775153,ETC,0.1465902175230766,-0.09923330741943306,BCH,0.15846623568150306,-0.3988833973028693,GNO,0.058476462269541354,-0.6845401067832879
2020-07-29,Custom_Risk_2_positive,7,BTC,0.14829844206287507,0.3875369139599039,ETH,0.13237531772890143,0.30604752689674525,GNO,0.0792416709726474,0.17491103278914943,BNB,0.1744908277697207,0.14716051395953975,DCR,0.20490611562761016,-0.02660559865606571,ETC,0.14031990781148757,-0.42002422671661377,BCH,0.12036771802675768,-0.5690261622326594
2020-08-05,Custom_Risk_2_positive,7,BTC,0.14269257562073628,0.784843588244481,ETH,0.13811392942569392,0.6021614541340191,BCH,0.1017509434025686,-0.00505888106380685,BNB,0.2151633911864263,-0.04233893066578323,ETC,0.13266350629500082,-0.05660630804541894,GNO,0.16192469628171074,-0.4339986936178479,DCR,0.10769095778786343,-0.849002228985644
2020-08-12,Custom_Risk_2_positive,7,ETH,0.12868642016324458,0.9076027977828037,BTC,0.18413548393197687,0.6928825895786693,BNB,0.16497306632203915,0.3478102849809662,ETC,0.16094917770770448,-0.2323776637262445,BCH,0.1140083641892627,-0.2954579533204105,DCR,0.10973489387451177,-0.6494652953156728,GNO,0.1375125938112606,-0.7709947599801112
2020-08-19,Custom_Risk_2_positive,7,ETH,0.12432441870219159,0.9855883226534115,BTC,0.23152099124207787,0.7643387634130618,BNB,0.15596785517099343,0.049721931946676436,BCH,0.1336488835715316,-0.12537245367874386,ETC,0.15177109098810354,-0.3452387365610581,DCR,0.14943734224618416,-0.48310746895286316,GNO,0.053329418078917945,-0.8459303588204852
2020-08-26,Custom_Risk_2_positive,7,BTC,0.2599768005261918,0.6561805842466261,ETH,0.12106780929927638,0.6549027306102949,GNO,0.05709574261419061,0.17619228064197884,BCH,0.16616304923083386,-0.14601663175957877,BNB,0.15814671971400948,-0.14994041822900625,ETC,0.15441760581310646,-0.4105799230458089,DCR,0.08313227280239145,-0.7807386224645054
2020-09-02,Custom_Risk_2_positive,7,ETH,0.11311066514432618,0.5802044760600445,BTC,0.26257328883474734,0.555240355340571,DCR,0.08773819455821166,-0.052180840097709624,BNB,0.16745909917910473,-0.08696793552182597,GNO,0.05659447436380085,-0.2468622275324248,BCH,0.1371695711856735,-0.27165815796526416,ETC,0.1753547067341358,-0.47777567028339113
2020-09-09,Custom_Risk_2_positive,7,BTC,0.2326322240239319,0.5772942181135848,ETH,0.1212452666166683,0.48058945126611485,GNO,0.07223980895334833,0.1750162507888422,ETC,0.19293459712558741,-0.18087897986373647,BCH,0.12427711149857236,-0.30845550409613587,BNB,0.10767548275314445,-0.3312249467471684,DCR,0.14899550902874725,-0.41234048946150104
2020-09-16,Custom_Risk_2_positive,7,BTC,0.22767626410880631,0.6114946323060565,GNO,0.08478651865957669,0.5087856015046044,ETH,0.12995161841564784,0.11538165352703542,BNB,0.08628654600017437,-0.21808387685212574,ETC,0.19396522494280158,-0.33026549482143863,BCH,0.13118159513634245,-0.3306029519830413,DCR,0.14615223273665087,-0.35670956368109075
2020-09-23,Custom_Risk_2_positive,7,BTC,0.25920293178115567,0.6539023800843823,BNB,0.07277099884530652,0.2588763731290269,GNO,0.06633067950773311,0.22476259417357544,ETH,0.11382266726584189,0.05929447750835425,DCR,0.12108012298399516,-0.32579596880648165,BCH,0.1617748091892273,-0.3986834130120186,ETC,0.2050177904267403,-0.4723564430768389
