date,momentum_14,momentum_21,momentum_28,momentum_42,momentum_90,volatility_14,volatility_21,volatility_28,volatility_42,volatility_90,usd_volume,strev_weekly,Multi_Factor_Portfolio
2020-02-12,0.02458595350746806,-0.0012094002008994804,0.006996724107763664,-0.07371741289419317,-0.057980390146329955,-0.1500731916296527,-0.12166420843548502,-0.12243860630505977,-0.11393462107216513,-0.13473124837770048,-0.07785404265148874,-0.07897593128684774,-0.020264905125238177
2020-02-19,-0.170421100441886,-0.13881363990017972,-0.14699032872128265,-0.1154289918038166,-0.12487281753589216,-0.13840032845471223,-0.11826597146385154,-0.11824183017970159,-0.12402106912221446,-0.11195195314936947,-0.11269290685744292,-0.12415701238100538,-0.13930537568061144
2020-02-26,0.020973319983090856,0.01610023303608997,0.01614872913307618,0.026108121795039862,0.030636973146896174,0.025092235761310762,0.026842362565847207,0.02656047772531426,0.031055803964209136,0.029152519450923123,0.008387337656783365,0.027075506394939757,0.021993475418838608
2020-03-04,-0.13270238866352346,-0.11147487348265187,-0.10920601696859526,-0.12690564853135794,-0.13830228828178415,-0.13511923549321775,-0.13555793010869396,-0.13571579613946796,-0.13859057598411795,-0.13727502980987066,-0.09536875380824048,-0.13851941622379985,-0.12371824318558253
2020-03-11,-0.358178504575065,-0.36442601526023877,-0.35180203419539136,-0.36354128813565023,-0.3564695985837826,-0.3622225711739706,-0.36156033193202053,-0.36229337833030073,-0.3389147213142787,-0.35700045789953383,-0.35472958777571434,-0.35107264810007077,-0.35888348815002563
2020-03-18,0.14756371979770316,0.16116831206910226,0.1575940772456746,0.16296736531621492,0.13214052489312,0.14143750099859775,0.14114764637054297,0.1398832578863201,0.13706332108330702,0.16528057486858963,0.20410882385082652,0.18661823050736964,0.152286799864363
2020-03-25,-0.0037294478553401562,0.006591193387348038,-0.008622453789544711,-0.007936925139147245,-0.007059693126541425,-0.002895029440418203,-0.002666209112045624,-0.002683181186104082,-0.0027942078065412916,-0.0061694934556592515,-0.012095861497521924,0.008462339747593233,-0.0041514653046451
2020-04-01,0.15651954420162262,0.1574528770116541,0.15702505115319942,0.20744582037757256,0.19106975203992144,0.17677779062243043,0.16792370094276451,0.16894124857505657,0.16946736214112948,0.1776703133551305,0.1580115289848774,0.15712105101544832,0.17390260895679402
2020-04-08,-0.09096284518486975,-0.09762429652521185,-0.09843332862622603,-0.10030042434464802,-0.14408175421829114,-0.09827746361411964,-0.10033850365339976,-0.13372131802115747,-0.13424282978868013,-0.08373983955905662,-0.09476000100931566,-0.10366135430016034,-0.10628052977984936
2020-04-15,0.27692259450661466,0.08477547028996309,0.09212740612840967,0.2632940325166334,0.27663713347984303,0.059321626998210426,0.058895146956706765,0.05866398353083349,0.0826471902516204,0.08236992106148319,0.08488852060380535,0.3824018494342963,0.19875132738429277
