date,multi_factor_return
2020-02-12,-0.020264905125238177
2020-02-19,-0.13930537568061144
2020-02-26,0.021993475418838608
2020-03-04,-0.12371824318558253
2020-03-11,-0.35888348815002563
2020-03-18,0.152286799864363
2020-03-25,-0.0041514653046451
2020-04-01,0.17390260895679402
2020-04-08,-0.10628052977984936
2020-04-15,0.19875132738429277
2020-04-22,0.15373983285176504
2020-04-29,-0.004486813688563421
2020-05-06,-0.03334284725189551
2020-05-13,0.05294381546416705
2020-05-20,0.029122098413788627
2020-05-27,0.08466062052765969
2020-06-03,0.159253673137528
2020-06-10,-0.0875938452967838
2020-06-17,-0.006769402026337282
2020-06-24,-0.0350636880170718
2020-07-01,0.04826136582660627
2020-07-08,-0.01349110185149351
2020-07-15,0.07449447486766589
2020-07-22,0.07449074662757481
2020-07-29,0.11664557133170747
2020-08-05,-0.03283938403018187
2020-08-12,0.06296864287170867
2020-08-19,-0.04356343111105704
2020-08-26,0.3217576012809366
2020-09-02,-0.10543098458225901
2020-09-09,-0.021095110051078322
2020-09-16,-0.23650859616567704
2020-09-23,0.15387484167961377
2020-09-30,-0.039525557345074305
2020-10-07,0.09808187223760409
2020-10-14,-0.04587825458185234
2020-10-21,-0.03352466577518742
2020-10-28,0.06043090594430424
2020-11-04,0.25527730871873244
2020-11-11,0.27160061139492586
2020-11-18,-0.041359148043304074
2020-11-25,0.25032809621296104
2020-12-02,0.14995998315170833
2020-12-09,0.21178226113284315
2020-12-16,0.11167089548031957
2020-12-23,0.07520305442191852
2020-12-30,0.24466338656850745
2021-01-06,0.08167177359772959
2021-01-13,0.21186182477629711
2021-01-20,0.013964703100970907
2021-01-27,0.3849081479357641
2021-02-03,0.28206448922501637
2021-02-10,0.006940708980857021
2021-02-17,0.07942439754127666
2021-02-24,-0.017406489096259234
2021-03-03,0.10677714660460089
2021-03-10,-0.01981736758173961
2021-03-17,-0.10449181754750628
2021-03-24,0.19743361761305114
2021-03-31,0.10628276513340132
2021-04-07,0.25680217153544826
2021-04-14,0.14133619104167913
2021-04-21,0.07097169450946897
2021-04-28,0.7382863641112645
2021-05-05,-0.09300730831174875
2021-05-12,-0.3403274821882988
2021-05-19,0.2535643976449713
2021-05-26,-0.09872117720268911
2021-06-02,-0.07562329363327726
2021-06-09,-0.08677621548726397
2021-06-16,-0.189028968590009
2021-06-23,0.18213451536370667
2021-06-30,0.0012202065216417534
2021-07-07,-0.12011479566014019
2021-07-14,-0.03837489433370182
2021-07-21,0.13195386578636353
2021-07-28,0.08910171582022292
2021-08-04,0.15713400756609067
2021-08-11,-0.034954198914543086
2021-08-18,0.15953478054934941
2021-08-25,0.058873654984882354
2021-09-01,-0.11607942260987865
2021-09-08,0.016086766205402253
2021-09-15,-0.15439409518103533
2021-09-22,-0.06405471438655347
2021-09-29,0.23682542268719148
2021-10-06,0.03941192129410828
2021-10-13,0.1404534324945827
2021-10-20,-0.0828061197058459
2021-10-27,0.1559724941973682
2021-11-03,0.005399832217168569
2021-11-10,-0.0990090509761479
2021-11-17,0.001956195651270803
2021-11-24,0.030798468901843817
2021-12-01,-0.1078713720799317
2021-12-08,-0.07363614625037891
2021-12-15,-0.005582838031539906
2021-12-22,-0.012924395072263756
2021-12-29,-0.04743114185295264
2022-01-05,-0.05787811098745251
2022-01-12,-0.08400256709887347
2022-01-19,-0.19601417708039626
2022-01-26,0.016893041808073137
2022-02-02,0.2056460252120237
2022-02-09,-0.016517976771449963
2022-02-16,-0.16831369606530733
2022-02-23,0.11949510624094886
2022-03-02,-0.06797376763659936
2022-03-09,-0.014453964344950443
2022-03-16,0.1488050492066068
2022-03-23,0.13161939868929698
2022-03-30,-0.15778394239712723
2022-04-06,-0.023984387304011624
2022-04-13,-0.011145845360069488
2022-04-20,-0.09899450151131921
2022-04-27,-0.016121149065925624
2022-05-04,-0.3457436595485857
2022-05-11,-0.03247125992360493
2022-05-18,0.054850356051430516
2022-05-25,-0.04523302251123326
2022-06-01,-0.029562071047962622
2022-06-08,-0.26598401113583564
2022-06-15,-0.09669662024962294
2022-06-22,-0.00234705783946013
2022-06-29,0.021996844583077678
2022-07-06,0.006518078889907387
2022-07-13,0.2697768238470201
2022-07-20,0.0891097607778857
2022-07-27,0.03489270974194569
2022-08-03,0.11195875490862964
2022-08-10,-0.009420255244503758
2022-08-17,-0.08481571393717716
2022-08-24,-0.08752649541277874
2022-08-31,0.048708358777117995
2022-09-07,0.016126850470779212
2022-09-14,-0.18995774119159797
2022-09-21,0.04262032999586366
2022-09-28,0.04632778846831568
2022-10-05,-0.08043249413303721
2022-10-12,0.05583398929732748
2022-10-19,0.07974493397982252
2022-10-26,0.0990767130539688
2022-11-02,-0.3260554549051363
2022-11-09,0.1212711558293689
2022-11-16,0.01867632424193374
2022-11-23,0.0221215080244253
2022-11-30,-0.048404916715639096
2022-12-07,0.01500310220654498
2022-12-14,-0.08546216235966246
2022-12-21,-0.026183591134827718
2022-12-28,0.03149373168188318
2023-01-04,0.08819513076993615
2023-01-11,0.06686846084108362
2023-01-18,0.0820286142184045
2023-01-25,0.038661443108655914
2023-02-01,-0.0210017208361293
2023-02-08,0.04200875849559165
2023-02-15,-0.023834738706376965
2023-02-22,-0.01602590282659456
2023-03-01,-0.16914818200863227
2023-03-08,0.2080404138902803
2023-03-15,0.045649288701836946
2023-03-22,0.022581260022518486
2023-03-29,0.10277246850344816
2023-04-05,0.08566452781427433
2023-04-12,0.12495541501373376
2023-04-19,-0.011410337972020755
2023-04-26,-0.040059469317935206
2023-05-03,-0.12938883619631428
