Strategy,Annual_Return,Volatility,Sharpe_Ratio,Max_Drawdown,Win_Rate,Total_Return
Custom_Risk_0/10,1.1762639140065967,0.7206563654587346,1.6322119256628569,0.7624702985214843,0.536,11.380938397829892
Custom_Risk_5/10,1.1352463821147531,0.7223177536479746,1.5716717142577967,0.7483744430426087,0.5333333333333333,14.631115000347103
Custom_Risk_8/10,1.3540582345701853,0.7161215933711099,1.8908216804300195,0.8008704685654686,0.5578947368421052,26.43542798797974
Custom_Risk_0_positive/10,1.2485340914389154,0.7195519369979072,1.7351549307865273,0.7727497731382356,0.544,13.518049719393403
Custom_Risk_5_positive/10,1.2719833502097697,0.7402111103393672,1.7184061849957901,0.7607276097945876,0.5298245614035088,19.697225896664563
Custom_Risk_8_positive/10,1.5351382907871631,0.7787797072968494,1.9712099280496669,0.829298424052018,0.5543859649122806,32.32492605328891
Custom_Risk_0_neutral/10,1.1762639140065967,0.7206563654587346,1.6322119256628569,0.7624702985214843,0.536,11.380938397829892
Custom_Risk_5_neutral/10,1.1352463821147531,0.7223177536479746,1.5716717142577967,0.7483744430426087,0.5333333333333333,14.631115000347103
Custom_Risk_8_neutral/10,1.3540582345701853,0.7161215933711099,1.8908216804300195,0.8008704685654686,0.5578947368421052,26.43542798797974
Custom_Risk_0_negative/10,1.1473623378530626,0.7180691205268172,1.5978438635702523,0.7547759828494139,0.54,10.748026356772987
Custom_Risk_5_negative/10,1.1564873257493464,0.7299081110070295,1.5844286538394265,0.7409735197705952,0.543859649122807,15.084318229259324
Custom_Risk_8_negative/10,1.0373529564835882,0.664601995593705,1.5608634391127516,0.786830759086365,0.5473684210526316,13.685249429353707
