,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,Win Rate
momentum_90,1.9421090465421038,0.9090581095441458,2.136397031336082,0.8281363998521293,0.5508771929824562
momentum_14,1.9187901735259372,0.8990868560307039,2.1341544041662757,0.8423491198411451,0.5403508771929825
strev_weekly,2.0514376036925235,0.9656852346958121,2.1243336130522072,0.8244402406969253,0.5543859649122806
momentum_42,1.6845439742817505,0.9415390962063657,1.7891386359515906,0.8456418601350992,0.5333333333333333
momentum_28,1.441981917575598,0.8660605594104664,1.6649897075986986,0.8465208041826855,0.5368421052631579
