,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,Win Rate,Avg Return
momentum_14,44.28026450068012,1.9187901735259372,0.8990868560307039,2.1341544041662757,0.8423491198411451,0.5403508771929825,0.020813039991615847
momentum_21,16.998582965015206,1.4018422876811227,0.865599778858891,1.61950398084569,0.8480709977725903,0.543859649122807,0.016993467268628916
momentum_28,17.969158676902858,1.441981917575598,0.8660605594104664,1.6649897075986986,0.8465208041826855,0.5368421052631579,0.017317664245123085
momentum_42,22.44028783447552,1.6845439742817505,0.9415390962063657,1.7891386359515906,0.8456418601350992,0.5333333333333333,0.019172061917599112
momentum_90,40.48549890732578,1.9421090465421038,0.9090581095441458,2.136397031336082,0.8281363998521293,0.5508771929824562,0.020969265406549167
volatility_14,7.27888157779069,0.9185868705260445,0.72971954464322,1.2588217997849667,0.7465043122217341,0.5298245614035088,0.012609392323915695
volatility_21,4.94419061533141,0.7999090956057489,0.7269082388065944,1.1004265090171548,0.7808459589059075,0.5157894736842106,0.01136673440822251
volatility_28,6.177999630839217,0.8567683263309376,0.7220131420612892,1.1866381322158945,0.7601373748920398,0.5052631578947369,0.011971816827601834
volatility_42,4.703744526328815,0.7849989915105313,0.7258611959101597,1.0814725954956423,0.791016425892492,0.5087719298245614,0.011204961521514374
volatility_90,8.811956529127176,0.9464957652534534,0.7078849108859079,1.337075774180477,0.7591860359137121,0.5228070175438596,0.012890660317029025
usd_volume,13.190504484501865,1.0334020301520064,0.6752537069851836,1.5303907545592803,0.7527368162905277,0.5298245614035088,0.01374183723972393
strev_weekly,45.77429564467184,2.0514376036925235,0.9656852346958121,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.02168588651152278
Multi_Factor_Portfolio,37.42228615397591,1.7991268996380656,0.8765691672739189,2.0524642741350916,0.823010142478098,0.543859649122807,0.019991583614481997
