date,symbol,weight,factor_value,return,weighting_scheme
2020-02-12,GNO,0.5142002302250225,0.5100740257834073,0.1243441071595921,factor_weighted
2020-02-12,ETH,0.2718857390674667,0.2697039894722535,-0.02576031848181,factor_weighted
2020-02-12,BNB,0.16233062344562435,0.1610279998758559,-0.1541345529534095,factor_weighted
2020-02-12,BTC,0.0009584608941185191,-0.0009507697159238,-0.0711716254297287,factor_weighted
2020-02-12,DCR,0.05062494636776798,-0.0502187060234807,-0.1433873814731721,factor_weighted
2020-02-19,GNO,0.5142002302250225,0.5100740257834073,-0.2059035402859588,factor_weighted
2020-02-19,ETH,0.2718857390674667,0.2697039894722535,-0.1330735434488056,factor_weighted
2020-02-19,BNB,0.16233062344562435,0.1610279998758559,-0.1617146197488044,factor_weighted
2020-02-19,BTC,0.0009584608941185191,-0.0009507697159238,-0.0831444943244927,factor_weighted
2020-02-19,DCR,0.05062494636776798,-0.0502187060234807,-0.0401724498936295,factor_weighted
2020-02-26,GNO,0.5142002302250225,0.5100740257834073,0.0122848119493719,factor_weighted
2020-02-26,ETH,0.2718857390674667,0.2697039894722535,0.0085154567763257,factor_weighted
2020-02-26,BNB,0.16233062344562435,0.1610279998758559,0.0662654433900549,factor_weighted
2020-02-26,BTC,0.0009584608941185191,-0.0009507697159238,0.0023434463233926,factor_weighted
2020-02-26,DCR,0.05062494636776798,-0.0502187060234807,0.0312509714037909,factor_weighted
2020-03-04,GNO,0.12181831968392312,-0.1071623250042245,-0.0995477362253512,factor_weighted
2020-03-04,BTC,0.1686942401817779,-0.1483985909476157,-0.0696966980428008,factor_weighted
2020-03-04,ETH,0.1766598374449749,-0.1554058450698718,-0.1039306031592461,factor_weighted
2020-03-04,DCR,0.20211627177958078,-0.1777996089691924,-0.1688743149702481,factor_weighted
2020-03-04,BNB,0.3307113309097432,-0.2909233620812016,-0.1703165374859445,factor_weighted
2020-03-11,DCR,0.02415895683456943,-0.0101769065726857,-0.3674294843600766,factor_weighted
2020-03-11,BTC,0.19227613622960998,-0.0809958926606362,-0.3332623692567303,factor_weighted
2020-03-11,ETC,0.23316071431739818,-0.0982184298054404,-0.3002289760808521,factor_weighted
2020-03-11,BNB,0.25202571062789786,-0.1061652673390585,-0.3717774061308345,factor_weighted
2020-03-11,ETH,0.2983784819905246,-0.1256912686797915,-0.4072824638802159,factor_weighted
2020-03-18,BTC,0.13709807780561306,-0.0675165821901899,0.2297650852514887,factor_weighted
2020-03-18,GNO,0.1796779322249476,-0.0884858494954943,-0.0178686311143611,factor_weighted
2020-03-18,ETH,0.1955455504916663,-0.0963001629418613,0.1432072503419883,factor_weighted
2020-03-18,BNB,0.2342018392638097,-0.1153371949690549,0.1848430007830042,factor_weighted
2020-03-18,BCH,0.25347660021396345,-0.1248294212840911,0.1892871198041796,factor_weighted
2020-03-25,BTC,0.18289944100758282,-0.3797317805804172,-0.0146272234046855,factor_weighted
2020-03-25,GNO,0.18778848038125945,-0.3898822961668318,0.0037572258366185,factor_weighted
2020-03-25,BCH,0.20156550302090115,-0.4184858463429691,0.0046790537210115,factor_weighted
2020-03-25,ETC,0.2019066073901073,-0.4191940397019474,0.0018792052632099,factor_weighted
2020-03-25,ETH,0.22583996820014932,-0.4688839549122079,-0.0136479844653899,factor_weighted
2020-04-01,BTC,0.16136518843599945,-0.1800693406886284,0.1184630573112501,factor_weighted
2020-04-01,BCH,0.17751889107101176,-0.1980954503555254,0.2061509374009551,factor_weighted
2020-04-01,ETC,0.2133099922100127,-0.2380351675094274,0.1574699153301528,factor_weighted
2020-04-01,DCR,0.2187064382115542,-0.2440571260432209,0.1146361401578832,factor_weighted
2020-04-01,BNB,0.22909949007142183,-0.2556548567203759,0.183965824216564,factor_weighted
2020-04-08,BNB,0.24770061121666803,0.2240456164392317,-0.0344800688697539,factor_weighted
2020-04-08,BTC,0.2341367005733313,0.2117770366142315,-0.076114895804091,factor_weighted
2020-04-08,BCH,0.2154245422068503,0.1948518581274509,-0.173304295921428,factor_weighted
2020-04-08,DCR,0.16166071097050969,0.1462223830029656,-0.0887527730264654,factor_weighted
2020-04-08,ETH,0.1410774350326406,0.1276047755485987,-0.0915737196425516,factor_weighted
2020-04-15,GNO,0.24929738426016063,0.2882015139959397,0.8174804833605129,factor_weighted
2020-04-15,ETH,0.23638540442639105,0.2732745537800474,0.1663569031540017,factor_weighted
2020-04-15,BNB,0.19301797619942695,0.223139416942518,0.0788535937961085,factor_weighted
2020-04-15,BCH,0.18320457331702183,0.211794582432703,0.0588243571880313,factor_weighted
2020-04-15,ETC,0.13809466179699936,0.1596450388870471,0.0565224755142423,factor_weighted
2020-04-22,ETH,0.4570919582948937,0.172680796051571,0.1646054132676606,factor_weighted
2020-04-22,BNB,0.37890334842763934,0.1431426010581413,0.1048810786640628,factor_weighted
2020-04-22,BTC,0.08822924239646522,0.0333313582432781,0.2203998288327675,factor_weighted
2020-04-22,DCR,0.04158250193197554,0.0157090918033544,0.1472784331896457,factor_weighted
2020-04-22,ETC,0.03419294894902627,0.0129174568414947,0.2507845753299049,factor_weighted
2020-04-29,GNO,0.5353207421824425,0.2052081111369501,0.0385062229127748,factor_weighted
2020-04-29,ETH,0.1553445209512013,0.0595492631014213,-0.0767107400579976,factor_weighted
2020-04-29,BNB,0.10866333077773994,0.0416546475816363,-0.0569875916026426,factor_weighted
2020-04-29,BTC,0.07438947501418905,-0.0285162192555739,0.0414595933898147,factor_weighted
2020-04-29,DCR,0.12628193107442723,-0.048408504480624,0.0677580569477911,factor_weighted
