date,strategy,factor_type,num_holdings,top_holding,top_weight,weight_std,avg_factor_value,portfolio_return
2020-02-12,momentum_14,Momentum Factor,5,GNO,0.5142002302250225,0.2044741835917182,0.17792730787842245,0.02458595350746806
2020-02-12,momentum_21,Momentum Factor,5,GNO,0.39908578592370947,0.12510782734244924,0.02015345127244519,-0.0012094002008994804
2020-02-12,momentum_28,Momentum Factor,5,GNO,0.42476924024903995,0.13644069910200207,0.04400038846322766,0.006996724107763664
2020-02-12,momentum_42,Momentum Factor,5,DCR,0.24489373576580215,0.045057586882282515,-0.41302684176563814,-0.07371741289419317
2020-02-12,momentum_90,Momentum Factor,5,DCR,0.3417397374831527,0.12317774680854729,-0.07704720413364372,-0.057980390146329955
2020-02-19,momentum_14,Momentum Factor,5,GNO,0.5142002302250225,0.2044741835917182,0.17792730787842245,-0.170421100441886
2020-02-19,momentum_21,Momentum Factor,5,GNO,0.39908578592370947,0.12510782734244924,0.02015345127244519,-0.13881363990017972
2020-02-19,momentum_28,Momentum Factor,5,GNO,0.42476924024903995,0.13644069910200207,0.04400038846322766,-0.14699032872128265
2020-02-19,momentum_42,Momentum Factor,5,DCR,0.24489373576580215,0.045057586882282515,-0.41302684176563814,-0.1154289918038166
2020-02-19,momentum_90,Momentum Factor,5,DCR,0.3417397374831527,0.12317774680854729,-0.07704720413364372,-0.12487281753589216
2020-02-26,momentum_14,Momentum Factor,5,GNO,0.5142002302250225,0.2044741835917182,0.17792730787842245,0.020973319983090856
2020-02-26,momentum_21,Momentum Factor,5,GNO,0.39908578592370947,0.12510782734244924,0.02015345127244519,0.01610023303608997
2020-02-26,momentum_28,Momentum Factor,5,GNO,0.42476924024903995,0.13644069910200207,0.04400038846322766,0.01614872913307618
2020-02-26,momentum_42,Momentum Factor,5,DCR,0.24489373576580215,0.045057586882282515,-0.41302684176563814,0.026108121795039862
2020-02-26,momentum_90,Momentum Factor,5,DCR,0.3417397374831527,0.12317774680854729,-0.07704720413364372,0.030636973146896174
2020-03-04,momentum_14,Momentum Factor,5,BNB,0.3307113309097432,0.07862429579553938,-0.17593794641442123,-0.13270238866352346
2020-03-04,momentum_21,Momentum Factor,5,GNO,0.39908578592370947,0.12510782734244924,0.02015345127244519,-0.11147487348265187
2020-03-04,momentum_28,Momentum Factor,5,GNO,0.42476924024903995,0.13644069910200207,0.04400038846322766,-0.10920601696859526
2020-03-04,momentum_42,Momentum Factor,5,DCR,0.24489373576580215,0.045057586882282515,-0.41302684176563814,-0.12690564853135794
2020-03-04,momentum_90,Momentum Factor,5,DCR,0.3417397374831527,0.12317774680854729,-0.07704720413364372,-0.13830228828178415
2020-03-11,momentum_14,Momentum Factor,5,ETH,0.2983784819905246,0.10543287413348384,-0.08424955301152245,-0.358178504575065
2020-03-11,momentum_21,Momentum Factor,5,BNB,0.3100152985339469,0.06804894819078938,-0.157370352641014,-0.36442601526023877
2020-03-11,momentum_28,Momentum Factor,5,GNO,0.42476924024903995,0.13644069910200207,0.04400038846322766,-0.35180203419539136
2020-03-11,momentum_42,Momentum Factor,5,DCR,0.24489373576580215,0.045057586882282515,-0.41302684176563814,-0.36354128813565023
2020-03-11,momentum_90,Momentum Factor,5,DCR,0.3417397374831527,0.12317774680854729,-0.07704720413364372,-0.3564695985837826
2020-03-18,momentum_14,Momentum Factor,5,BCH,0.25347660021396345,0.0458775352277571,-0.0984938421761383,0.14756371979770316
2020-03-18,momentum_21,Momentum Factor,5,BNB,0.24636157375004716,0.04620792001735427,-0.2097730584824978,0.16116831206910226
2020-03-18,momentum_28,Momentum Factor,5,BNB,0.2874043614012059,0.05830310424522179,-0.25936020643511337,0.1575940772456746
2020-03-18,momentum_42,Momentum Factor,5,DCR,0.24489373576580215,0.045057586882282515,-0.41302684176563814,0.16296736531621492
2020-03-18,momentum_90,Momentum Factor,5,DCR,0.3417397374831527,0.12317774680854729,-0.07704720413364372,0.13214052489312
2020-03-25,momentum_14,Momentum Factor,5,ETH,0.22583996820014932,0.01669835498848027,-0.41523558354087464,-0.0037294478553401562
2020-03-25,momentum_21,Momentum Factor,5,BNB,0.22068285066127524,0.0131576583082399,-0.402600235217861,0.006591193387348038
2020-03-25,momentum_28,Momentum Factor,5,GNO,0.21222092227655534,0.013253313918715485,-0.4802125907367854,-0.008622453789544711
2020-03-25,momentum_42,Momentum Factor,5,DCR,0.24489373576580215,0.045057586882282515,-0.41302684176563814,-0.007936925139147245
2020-03-25,momentum_90,Momentum Factor,5,DCR,0.3417397374831527,0.12317774680854729,-0.07704720413364372,-0.007059693126541425
2020-04-01,momentum_14,Momentum Factor,5,BNB,0.22909949007142183,0.02903410050644301,-0.22318238826343562,0.15651954420162262
2020-04-01,momentum_21,Momentum Factor,5,BNB,0.22936377137042538,0.03662384258074678,-0.3334695291529822,0.1574528770116541
