strategy_name,strategy_rank,date,symbol,weight,factor_value,return,total_assets_weekly,top_asset_weekly,top_weight_weekly,weight_concentration_weekly,avg_factor_value_weekly,weekly_return_weekly,annual_return,sharpe_ratio,max_drawdown,win_rate,volatility
strev_weekly,3,2020-02-12,ETH,0.5396998086026212,0.303276815304456,-0.02576031848181,5,ETH,0.5396998086026212,0.3604887470894413,0.10866583143005462,-0.07897593128684774,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-12,DCR,0.1935523759358726,0.1087640707533821,-0.1433873814731721,5,ETH,0.5396998086026212,0.3604887470894413,0.10866583143005462,-0.07897593128684774,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-12,BTC,0.1345376063239795,0.0756015402159677,-0.0711716254297287,5,ETH,0.5396998086026212,0.3604887470894413,0.10866583143005462,-0.07897593128684774,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-12,BCH,0.11565409163123315,0.0649902112762761,-0.2001222039970294,5,ETH,0.5396998086026212,0.3604887470894413,0.10866583143005462,-0.07897593128684774,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-12,ETC,0.01655611750629351,-0.0093034803998088,-0.2778376105115602,5,ETH,0.5396998086026212,0.3604887470894413,0.10866583143005462,-0.07897593128684774,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-19,ETC,0.3281598100521061,-0.2778376105115602,-0.1296699853838891,5,ETC,0.3281598100521061,0.23245024705605702,-0.16933067487297998,-0.12415701238100538,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-19,BCH,0.23636851875438056,-0.2001222039970294,-0.1623367728079143,5,ETC,0.3281598100521061,0.23245024705605702,-0.16933067487297998,-0.12415701238100538,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-19,BNB,0.18205154272140056,-0.1541345529534095,-0.1617146197488044,5,ETC,0.3281598100521061,0.23245024705605702,-0.16933067487297998,-0.12415701238100538,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-19,DCR,0.16935783381331385,-0.1433873814731721,-0.0401724498936295,5,ETC,0.3281598100521061,0.23245024705605702,-0.16933067487297998,-0.12415701238100538,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-19,BTC,0.08406229465879904,-0.0711716254297287,-0.0831444943244927,5,ETC,0.3281598100521061,0.23245024705605702,-0.16933067487297998,-0.12415701238100538,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-26,GNO,0.25975014490476067,-0.2059035402859588,0.0122848119493719,5,GNO,0.25975014490476067,0.20596752186808345,-0.15853969233507445,0.027075506394939757,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-26,BCH,0.20479006918319825,-0.1623367728079143,0.0147717807478584,5,GNO,0.25975014490476067,0.20596752186808345,-0.15853969233507445,0.027075506394939757,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-26,BNB,0.20400521455159598,-0.1617146197488044,0.0662654433900549,5,GNO,0.25975014490476067,0.20596752186808345,-0.15853969233507445,0.027075506394939757,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-26,ETH,0.1678741033097932,-0.1330735434488056,0.0085154567763257,5,GNO,0.25975014490476067,0.20596752186808345,-0.15853969233507445,0.027075506394939757,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-02-26,ETC,0.16358046805065185,-0.1296699853838891,0.0361375053718242,5,GNO,0.25975014490476067,0.20596752186808345,-0.15853969233507445,0.027075506394939757,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-03-04,DCR,0.4518225762939759,0.0312509714037909,-0.1688743149702481,5,DCR,0.4518225762939759,0.29760660837969083,0.0138332934401479,-0.13851941622379985,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-03-04,BCH,0.21356853032534917,0.0147717807478584,-0.1375690620102461,5,DCR,0.4518225762939759,0.29760660837969083,0.0138332934401479,-0.13851941622379985,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-03-04,GNO,0.17761225123321836,0.0122848119493719,-0.0995477362253512,5,DCR,0.4518225762939759,0.29760660837969083,0.0138332934401479,-0.13851941622379985,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2020-03-04,ETH,0.12311539277568678,0.0085154567763257,-0.1039306031592461,5,DCR,0.4518225762939759,0.29760660837969083,0.0138332934401479,-0.13851941622379985,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
