rank,strategy_name,factor_type,annual_return,sharpe_ratio,max_drawdown,win_rate,volatility,total_weeks,unique_assets,avg_weekly_assets,most_frequent_asset,most_frequent_count,most_frequent_percentage,avg_weight,max_weight,min_weight,filename
1,momentum_90,Momentum Factor,1.9421090465421038,2.136397031336082,0.8281363998521293,0.5508771929824562,0.9090581095441458,285,9,5.0,BTC,237,83.15789473684211,0.2,0.9269970308729021,1.0398465048760683e-05,rank_01_momentum_90_weekly_holdings.csv
2,momentum_14,Momentum Factor,1.9187901735259372,2.1341544041662757,0.8423491198411451,0.5403508771929825,0.8990868560307039,285,10,5.0,ETH,203,71.2280701754386,0.2,0.9254558094731665,9.097471670057333e-05,rank_02_momentum_14_weekly_holdings.csv
3,strev_weekly,Short-term Reversal Factor,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121,285,10,5.0,ETC,189,66.3157894736842,0.2,0.8107043315398792,0.000814598130343514,rank_03_strev_weekly_weekly_holdings.csv
4,momentum_42,Momentum Factor,1.6845439742817505,1.7891386359515906,0.8456418601350992,0.5333333333333333,0.9415390962063657,285,10,5.0,BTC,224,78.59649122807018,0.2,0.8822401245416013,3.801043941609398e-05,rank_04_momentum_42_weekly_holdings.csv
5,momentum_28,Momentum Factor,1.441981917575598,1.6649897075986986,0.8465208041826855,0.5368421052631579,0.8660605594104664,285,10,5.0,BTC,214,75.08771929824562,0.2,0.8664940666434816,0.0002483911845958577,rank_05_momentum_28_weekly_holdings.csv
