strategy_name,strategy_rank,date,symbol,weight,factor_value,return,total_assets_weekly,top_asset_weekly,top_weight_weekly,weight_concentration_weekly,avg_factor_value_weekly,weekly_return_weekly,annual_return,sharpe_ratio,max_drawdown,win_rate,volatility
momentum_21,5,2022-11-02,AAVE,0.1355653624254364,0.0596748358802241,-0.2756312751096427,5,ETH,0.35918812921237087,0.24683921469070375,0.08803847061309104,-0.29838249453742616,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
momentum_21,5,2022-11-02,DCR,0.08390253559944791,0.0369332545736791,-0.2757552004428755,5,ETH,0.35918812921237087,0.24683921469070375,0.08803847061309104,-0.29838249453742616,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
momentum_21,5,2022-11-09,INJ,0.43153683922997604,0.4179640653596073,0.1762772461336388,5,INJ,0.43153683922997604,0.27542195451922513,0.19370956421955182,0.1028044748665897,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
momentum_21,5,2022-11-09,BNB,0.18855376493427106,0.1826233381868673,0.0180066224363761,5,INJ,0.43153683922997604,0.27542195451922513,0.19370956421955182,0.1028044748665897,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
momentum_21,5,2022-11-09,ETH,0.17865899283223027,0.1730397782271768,0.1031435165286143,5,INJ,0.43153683922997604,0.27542195451922513,0.19370956421955182,0.1028044748665897,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
momentum_21,5,2022-11-09,AAVE,0.1277866683378095,0.1237674991839274,0.002459588418902,5,INJ,0.43153683922997604,0.27542195451922513,0.19370956421955182,0.1028044748665897,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
momentum_21,5,2022-11-09,DCR,0.07346373466571327,0.0711531401401805,0.0625793586317799,5,INJ,0.43153683922997604,0.27542195451922513,0.19370956421955182,0.1028044748665897,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
momentum_21,5,2022-11-16,BTC,0.2578815371800391,-0.1680378226214189,-0.0029015181609894,5,BTC,0.2578815371800391,0.23748716387602967,-0.13032171628797443,0.026700908026972437,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
momentum_21,5,2022-11-16,ETC,0.254342000364822,-0.1657314300583011,0.023588196753097,5,BTC,0.2578815371800391,0.23748716387602967,-0.13032171628797443,0.026700908026972437,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
momentum_21,5,2022-11-16,BCH,0.24046595923630884,-0.1566896825825493,0.1009730644990034,5,BTC,0.2578815371800391,0.23748716387602967,-0.13032171628797443,0.026700908026972437,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
momentum_21,5,2022-11-16,ETH,0.21823142053028285,-0.1422014663573458,-0.0260532804314355,5,BTC,0.2578815371800391,0.23748716387602967,-0.13032171628797443,0.026700908026972437,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
momentum_21,5,2022-11-16,BNB,0.029079082688547225,-0.018948179820257,0.0981718185584406,5,BTC,0.2578815371800391,0.23748716387602967,-0.13032171628797443,0.026700908026972437,1.5657669256584148,1.8214256799001443,0.8480709977725903,0.5508771929824562,0.8596381081792229
